NOMENUM;ARIMA RMSE;LSTM RMSE;Prophet RMSE;ARIMA R2;LSTM R2;Prophet R2
Luís Domingues;576.9965244301164;872.1101987826248;229.23802216886398;-684765.8336496137;0.988557806841283;-1346.5716953766223
Senador Alexandre Costa;0.2686912223927652;35900.210922164035;118.41433562312581;-2.234326192514613e+25;-18.389229207084334;-1350.3157667914095
Elesbão Veloso;37.37953683324804;72843.39080916221;28.332623981931846;-3.2933996482815946;-78.8264565625926;-1348.8806794471639
Santa Rosa do Piauí;40.4801274728757;5837.80299874019;17.365986153952853;-2.584712808578618;0.4872975239054248;-1353.443827197406
Bayeux;757.6502541931255;2437.7129312005713;136.07316035203306;-1.1958296477895445;0.9106012046909092;-1254.17335231346
Floresta;257.9584640129011;43189.95968583472;314.8566371255657;0.22301524466373857;-27.062873696795602;-1327.2191780285266
Itapetim;189.90459404549793;5819.3718845369485;257.78548701701203;-2.5834328935669704;0.4905298222983713;-1333.565895521131
Gentio do Ouro;162.0759423951231;14336.997798441787;97.17790065935192;-2.430450585588356;-2.0923096903625362;-1346.6978712802274
Montes Claros;13124.972157698488;2524.2315143800956;3507.409801270061;-2.99690052728504;0.9041427615465067;-701.8105801563207
Mundo Novo;380.7150583376443;7061.015419855828;246.8871374378729;-8.466141818676768;0.24993160887023025;-1340.4405331086946
Pirenópolis;2032.5521086249666;1959.7896533632986;1164.5644935823573;-5.390375437898103;0.9422189452526963;-1287.1034292320292
Teófilo Otoni;965.0038728796369;3398.795839008124;1337.385658666461;-1.6349353129686297;0.8262132345702735;-1203.3886606641433
Cuité;450.9354817285191;2767.306771740169;486.01109729301294;-3.596540129715752;0.8847923929873982;-1329.1651245343298
Cruzeiro do Sul;25.659513610571178;2044.5912771322148;84.01507052310289;0.29706845175079855;0.9371102958724278;-1337.8643197026547
Nova Roma;109.71766960970015;9612.578326757062;81.15884635842;-1.65203356339235;-0.3901009095962169;-1351.856795468271
Conchal;1012.1926708963518;3746.595552792496;95.71491525707634;-20.665510220260966;0.7888261339331913;-1313.2316465256629
Campos Borges;21.022151515845398;20671.13045233418;28.58743074974412;-2.441637942209419;-5.428283174934417;-1347.0185715083799
Jaguaré;871.1297249672259;2821.346160191125;429.82038929358066;-2.2558155398768784;0.8802489601802581;-1284.940251918575
Piranhas;488.1342756070326;16197.2321922482;173.03672809606198;-1.5551991577398452;-2.9468276336523704;-1332.7933258753042
Costa Marques;291.90330250190533;2235.8806205516794;277.0604695079399;-0.30051520045952107;0.9247920470908734;-1320.349011147036
Primavera do Leste;1585.7110918827561;5240.924849786471;1084.7656011580925;-0.13774829959193946;0.586778976574725;-1153.7107761415416
São Carlos;842.5581132623464;25558.828869174602;473.0403971375403;0.3873270000885992;-8.827622016180158;-1078.8416853362228
Capetinga;246.45737838786445;3023.699381053261;92.76672609146787;-7.012153463071829;0.8624553297947373;-1339.3478069908865
Ubá;1863.1334857459774;12984.75853681591;2648.2453310446617;-2.432184943126982;-1.5364966915229048;-1164.7013812072848
Cassilândia;656.6052636393476;22865.730782483944;336.7097929506751;-2.6959327430784854;-6.865688005789206;-1310.2057157847025
Lambari;708.5793149765744;4558.939521307259;339.8040975763347;-9.464009894800592;0.6873242457767205;-1318.440585758412
Parazinho;79.43406751150007;2364.821043961056;62.94542837108471;-2.8318182530094718;0.9158676331005574;-1348.7530493802458
Alfenas;1794.9469260481642;16666.269895423535;925.8768845006565;-3.437679942313875;-3.1787209015416398;-1166.6397693911258
Aracitaba;0.05546555013097061;8199.92099140203;10.340842752239539;-1.5233729889486309e+25;-0.011546565797906805;-1354.3473295705962
Carmo de Minas;110.53049071645108;753.3693359114081;310.80795303652343;-0.8834443288881628;0.9914614834819256;-1342.786777494979
Casa Grande;46.17345348620614;4765.764177009304;76.76683128150943;-2.048781233840561;0.6583104937522553;-1352.283442642636
Ladainha;73.696455788867;20801.75056582528;126.48930646778759;-2.178102042007581;-5.509780021937279;-1351.5224642285318
Matozinhos;1152.59496380001;5069.112680205385;1542.2064306957955;-3.158470124075115;0.6134279640335933;-1295.4028381116743
Jambeiro;4.492206825817377;6785.419835297333;56.97358114762146;0.6192097994481514;0.3073401854487896;-1350.4574664496722
